breakout_id,cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,66460.0,False,,,,False,,short,5m,2026-03-29 04:36:26
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.3,False,,,,False,,long,5m,2026-03-29 04:36:36
,False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.3,False,,,,False,,short,5m,2026-03-29 04:36:36
,False,,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.09105,False,,,,False,,long,5m,2026-03-29 04:36:40
,False,,,reentry_check,True,ok,DOGE-USDT-SWAP,,,0.09105,False,,,,False,,short,5m,2026-03-29 04:36:40
,False,,,reentry_check,True,ok,DOT-USDT-SWAP,,,1.265,False,,,,False,,long,5m,2026-03-29 04:36:42
,False,,,reentry_check,True,ok,DOT-USDT-SWAP,,,1.265,False,,,,False,,short,5m,2026-03-29 04:36:42
,False,,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.05,False,,,,False,,long,5m,2026-03-29 04:36:46
,False,,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.05,False,,,,False,,short,5m,2026-03-29 04:36:46
,False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.835,False,,,,False,,long,5m,2026-03-29 04:37:03
,False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.835,False,,,,False,,short,5m,2026-03-29 04:37:03
,False,,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.466,False,,,,False,,long,5m,2026-03-29 04:37:11
,False,,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.466,False,,,,False,,short,5m,2026-03-29 04:37:11
,False,,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.852,False,,,,False,,long,5m,2026-03-29 04:37:12
,False,,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.852,False,,,,False,,short,5m,2026-03-29 04:37:12
,False,,,reentry_check,True,ok,LPT-USDT-SWAP,,,2.059,False,,,,False,,long,5m,2026-03-29 04:37:14
,False,,,reentry_check,True,ok,LPT-USDT-SWAP,,,2.059,False,,,,False,,short,5m,2026-03-29 04:37:14
,False,,,reentry_check,True,ok,LTC-USDT-SWAP,,,53.99,False,,,,False,,long,5m,2026-03-29 04:37:18
,False,,,reentry_check,True,ok,LTC-USDT-SWAP,,,53.99,False,,,,False,,short,5m,2026-03-29 04:37:18
,False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1409,False,,,,False,,long,5m,2026-03-29 04:37:23
,False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1409,False,,,,False,,short,5m,2026-03-29 04:37:23
,False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05326,False,,,,False,,long,5m,2026-03-29 04:37:24
,False,,,reentry_check,True,ok,MINA-USDT-SWAP,,,0.05326,False,,,,False,,short,5m,2026-03-29 04:37:24
,False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.1708,False,,,,False,,long,5m,2026-03-29 04:37:27
,False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.1708,False,,,,False,,short,5m,2026-03-29 04:37:27
,False,,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.27,False,,,,False,,long,5m,2026-03-29 04:37:44
,False,,,reentry_check,True,ok,SOL-USDT-SWAP,,,82.27,False,,,,False,,short,5m,2026-03-29 04:37:44
,False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1519,False,,,,False,,long,5m,2026-03-29 04:37:52
,False,,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1519,False,,,,False,,short,5m,2026-03-29 04:37:52
,False,,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.16788,False,,,,False,,long,5m,2026-03-29 04:38:01
,False,,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.16788,False,,,,False,,short,5m,2026-03-29 04:38:01
,False,,,reentry_check,True,ok,YFI-USDT-SWAP,,,2379.0,False,,,,False,,long,5m,2026-03-29 04:38:06
,False,,,reentry_check,True,ok,YFI-USDT-SWAP,,,2379.0,False,,,,False,,short,5m,2026-03-29 04:38:06
,False,,,reentry_check,True,ok,AAVE-USDT-SWAP,,,97.06,False,,,,False,,long,5m,2026-03-29 04:38:59
